job_id,job_title,category,skills,description,experience_level,education
20,NLP Engineer,AI & ML,"python,natural language processing,machine learning,nltk,pandas",Develop natural language processing applications.,Entry Level,Bachelor's Degree
21,Deep Learning Engineer,AI & ML,"python,deep learning,tensorflow,pytorch,machine learning",Develop deep learning models using neural networks.,Entry Level,Bachelor's Degree
22,Computer Vision Engineer,AI & ML,"python,opencv,deep learning,tensorflow,machine learning",Develop computer vision and image processing systems.,Entry Level,Bachelor's Degree
23,AI Application Developer,AI & ML,"python,artificial intelligence,machine learning,rest api,git",Develop AI-powered software applications.,Entry Level,Bachelor's Degree
24,ML Developer,AI & ML,"python,machine learning,scikit-learn,pandas,numpy",Develop machine learning applications and pipelines.,Entry Level,Bachelor's Degree
25,Data Analyst,Data,"python,sql,excel,power bi,statistics",Analyze business data and create reports and dashboards.,Entry Level,Bachelor's Degree
26,Data Engineer,Data,"python,sql,aws,etl,git",Build data pipelines and data processing systems.,Entry Level,Bachelor's Degree
27,Business Intelligence Analyst,Data,"sql,power bi,excel,python,statistics",Create business intelligence reports and dashboards.,Entry Level,Bachelor's Degree
28,Business Analyst,Business,"sql,excel,power bi,statistics,communication",Analyze business requirements and support decision making.,Entry Level,Bachelor's Degree
29,Database Developer,Data,"sql,mysql,postgresql,python,git",Design and maintain relational database systems.,Entry Level,Bachelor's Degree
30,SQL Developer,Data,"sql,mysql,postgresql,python,excel",Develop database queries and data solutions.,Entry Level,Bachelor's Degree
31,Data Visualization Developer,Data,"python,power bi,excel,sql,matplotlib",Create visual dashboards and data reports.,Entry Level,Bachelor's Degree
32,Research Data Analyst,Data,"python,sql,statistics,excel,pandas",Analyze research datasets and generate insights.,Entry Level,Bachelor's Degree
33,Cloud Engineer,Cloud & DevOps,"azure,docker,python,linux,git",Manage cloud infrastructure and applications.,Entry Level,Bachelor's Degree
34,AWS Cloud Engineer,Cloud & DevOps,"aws,python,docker,linux,git",Deploy and manage applications on AWS.,Entry Level,Bachelor's Degree
35,Azure Cloud Engineer,Cloud & DevOps,"azure,docker,python,linux,git",Deploy and manage applications using Azure.,Entry Level,Bachelor's Degree
36,DevOps Engineer,Cloud & DevOps,"git,docker,ci/cd,azure,linux",Automate software development and deployment pipelines.,Entry Level,Bachelor's Degree
37,Cloud DevOps Engineer,Cloud & DevOps,"aws,docker,ci/cd,linux,git",Implement cloud-based DevOps workflows.,Entry Level,Bachelor's Degree
38,Site Reliability Engineer,Cloud & DevOps,"linux,docker,python,aws,git",Maintain reliable and scalable software infrastructure.,Entry Level,Bachelor's Degree
39,CI/CD Engineer,Cloud & DevOps,"git,github,docker,ci/cd,azure",Design and maintain continuous integration pipelines.,Entry Level,Bachelor's Degree
40,Cybersecurity Analyst,Cybersecurity,"cybersecurity,linux,python,network security,sql",Monitor systems and investigate cybersecurity threats.,Entry Level,Bachelor's Degree
41,Security Engineer,Cybersecurity,"cybersecurity,linux,python,network security,docker",Design and maintain secure infrastructure.,Entry Level,Bachelor's Degree
42,SOC Analyst,Cybersecurity,"cybersecurity,linux,network security,python,sql",Monitor security operations and investigate incidents.,Entry Level,Bachelor's Degree
43,Information Security Analyst,Cybersecurity,"cybersecurity,network security,linux,sql,python",Analyze security risks and protect information systems.,Entry Level,Bachelor's Degree
44,Network Security Engineer,Cybersecurity,"network security,linux,cybersecurity,python,sql",Secure networks and monitor network traffic.,Entry Level,Bachelor's Degree
45,Network Engineer,IT Infrastructure,"networking,linux,python,sql,cybersecurity",Configure and maintain computer networks.,Entry Level,Bachelor's Degree
46,System Administrator,IT Infrastructure,"linux,python,networking,sql,docker","Manage servers, systems and IT infrastructure.",Entry Level,Bachelor's Degree
47,Systems Engineer,IT Infrastructure,"linux,python,docker,networking,git",Design and maintain enterprise IT systems.,Entry Level,Bachelor's Degree
48,Technical Support Engineer,IT Support,"linux,sql,networking,python,communication",Provide technical support and troubleshoot systems.,Entry Level,Bachelor's Degree
49,Application Support Engineer,IT Support,"sql,python,linux,git,rest api",Support enterprise applications and troubleshoot issues.,Entry Level,Bachelor's Degree
50,Financial Analyst,Finance,"excel,financial analysis,accounting,financial reporting,statistics",Analyze financial data and prepare financial reports.,Entry Level,Bachelor's Degree
51,Accountant,Finance,"accounting,excel,taxation,financial reporting,auditing",Maintain financial records and prepare accounting reports.,Entry Level,Bachelor's Degree
52,Auditor,Finance,"auditing,accounting,excel,financial reporting,taxation",Review financial records and identify accounting issues.,Entry Level,Bachelor's Degree
53,Tax Consultant,Finance,"taxation,accounting,excel,financial reporting,communication",Assist organizations with taxation and financial compliance.,Entry Level,Bachelor's Degree
54,Credit Analyst,Finance,"financial analysis,excel,accounting,statistics,risk analysis",Evaluate credit applications and financial risk.,Entry Level,Bachelor's Degree
55,Risk Analyst,Finance,"risk analysis,statistics,excel,financial analysis,sql",Analyze financial and operational risks.,Entry Level,Bachelor's Degree
56,Investment Analyst,Finance,"financial analysis,excel,statistics,economics,communication",Analyze investment opportunities and financial markets.,Entry Level,Bachelor's Degree
57,Banking Associate,Finance,"banking,finance,excel,communication,customer service",Assist customers and support banking operations.,Entry Level,Bachelor's Degree
58,Digital Marketing Specialist,Marketing,"digital marketing,seo,social media,content writing,google analytics",Plan and execute digital marketing campaigns.,Entry Level,Bachelor's Degree
59,SEO Specialist,Marketing,"seo,keyword research,google analytics,content writing,digital marketing",Improve website search engine rankings and organic traffic.,Entry Level,Bachelor's Degree
60,Social Media Manager,Marketing,"social media,content creation,digital marketing,communication,branding",Manage social media platforms and digital campaigns.,Entry Level,Bachelor's Degree
61,Content Writer,Marketing,"content writing,communication,copywriting,seo,research","Create articles, blogs, marketing content and web copy.",Entry Level,Bachelor's Degree
62,Content Strategist,Marketing,"content strategy,content writing,seo,marketing,research",Develop content strategies for digital platforms.,Entry Level,Bachelor's Degree
63,Marketing Executive,Marketing,"marketing,communication,sales,social media,market research",Support marketing campaigns and promotional activities.,Entry Level,Bachelor's Degree
64,Market Research Analyst,Marketing,"market research,statistics,excel,data analysis,communication","Research markets, customers and competitors.",Entry Level,Bachelor's Degree
65,Sales Executive,Sales,"sales,communication,customer service,negotiation,crm",Generate sales and maintain customer relationships.,Entry Level,Bachelor's Degree
66,Business Development Executive,Sales,"sales,communication,negotiation,crm,market research",Identify business opportunities and develop client relationships.,Entry Level,Bachelor's Degree
67,Customer Success Executive,Sales,"customer service,communication,crm,problem solving,negotiation",Support customers and improve customer satisfaction.,Entry Level,Bachelor's Degree
68,Graphic Designer,Design,"graphic design,photoshop,illustrator,creativity,typography",Create visual designs for digital and print media.,Entry Level,Bachelor's Degree
69,UI Designer,Design,"ui design,figma,wireframing,prototyping,creativity",Design user interfaces for websites and applications.,Entry Level,Bachelor's Degree
70,UX Designer,Design,"ux design,figma,user research,wireframing,prototyping",Design user experiences based on research and usability.,Entry Level,Bachelor's Degree
71,UI/UX Designer,Design,"ui design,ux design,figma,wireframing,prototyping",Design attractive and user-friendly digital products.,Entry Level,Bachelor's Degree
72,Product Designer,Design,"product design,figma,ux design,user research,prototyping",Design digital products based on user needs.,Entry Level,Bachelor's Degree
73,Video Editor,Media,"video editing,premiere pro,after effects,storytelling,creativity",Edit and produce professional video content.,Entry Level,Bachelor's Degree
74,Content Creator,Media,"content creation,social media,video editing,communication,creativity",Create digital content for social media and online platforms.,Entry Level,Bachelor's Degree
75,Animator,Design,"animation,illustration,storytelling,creativity,video editing",Create animated visual content and motion graphics.,Entry Level,Bachelor's Degree
76,HR Executive,Human Resources,"human resources,recruitment,communication,employee relations,excel","Support recruitment, employee relations and HR operations.",Entry Level,Bachelor's Degree
77,Recruiter,Human Resources,"recruitment,communication,interviewing,linkedin,hr",Source candidates and conduct recruitment activities.,Entry Level,Bachelor's Degree
78,Talent Acquisition Specialist,Human Resources,"talent acquisition,recruitment,communication,interviewing,hr",Manage hiring processes and candidate sourcing.,Entry Level,Bachelor's Degree
79,HR Analyst,Human Resources,"hr analytics,excel,data analysis,human resources,statistics",Analyze employee data and HR metrics.,Entry Level,Bachelor's Degree
80,Administrative Assistant,Administration,"communication,excel,organization,time management,office management",Provide administrative and office support.,Entry Level,Bachelor's Degree
81,Office Manager,Administration,"office management,communication,organization,excel,leadership",Manage office operations and administrative activities.,Entry Level,Bachelor's Degree
82,School Teacher,Education,"teaching,communication,classroom management,lesson planning,education",Teach students and prepare educational lessons.,Entry Level,Bachelor's Degree
83,Mathematics Teacher,Education,"mathematics,teaching,communication,lesson planning,classroom management",Teach mathematics and develop learning activities.,Entry Level,Bachelor's Degree
84,Science Teacher,Education,"science,teaching,communication,lesson planning,classroom management",Teach science subjects and conduct classroom activities.,Entry Level,Bachelor's Degree
85,English Teacher,Education,"english,teaching,communication,grammar,lesson planning",Teach English language and communication skills.,Entry Level,Bachelor's Degree
86,Computer Science Teacher,Education,"computer science,python,java,teaching,communication",Teach programming and computer science concepts.,Entry Level,Bachelor's Degree
87,Academic Counselor,Education,"counseling,communication,education,career guidance,student support",Guide students in academic and career planning.,Entry Level,Bachelor's Degree
88,Instructional Designer,Education,"instructional design,content creation,education,research,communication",Design educational content and learning materials.,Entry Level,Bachelor's Degree
89,Healthcare Administrator,Healthcare,"healthcare administration,communication,excel,management,organization",Manage administrative activities in healthcare organizations.,Entry Level,Bachelor's Degree
90,Medical Coder,Healthcare,"medical coding,medical terminology,healthcare,computer skills,accuracy",Assign medical codes and maintain healthcare records.,Entry Level,Bachelor's Degree
91,Medical Transcriptionist,Healthcare,"medical transcription,medical terminology,typing,communication,accuracy",Convert medical recordings into written documents.,Entry Level,Bachelor's Degree
92,Healthcare Data Analyst,Healthcare,"python,sql,excel,data analysis,healthcare",Analyze healthcare data and generate reports.,Entry Level,Bachelor's Degree
93,Clinical Research Assistant,Healthcare,"clinical research,data analysis,documentation,research,communication",Support clinical research studies and data collection.,Entry Level,Bachelor's Degree
94,Hospital Administrator,Healthcare,"healthcare administration,management,communication,organization,excel",Manage hospital administrative operations.,Entry Level,Bachelor's Degree
95,Mechanical Engineer,Engineering,"mechanical engineering,cad,autocad,manufacturing,problem solving",Design and develop mechanical systems and components.,Entry Level,Bachelor's Degree
96,Civil Engineer,Engineering,"civil engineering,autocad,construction,project management,design",Plan and supervise construction and civil engineering projects.,Entry Level,Bachelor's Degree
97,Electrical Engineer,Engineering,"electrical engineering,circuit design,matlab,autocad,problem solving",Design and maintain electrical systems.,Entry Level,Bachelor's Degree
98,Electronics Engineer,Engineering,"electronics,circuit design,embedded systems,microcontrollers,matlab",Design and develop electronic systems.,Entry Level,Bachelor's Degree
99,Production Engineer,Engineering,"production engineering,manufacturing,quality control,lean manufacturing,excel",Improve manufacturing processes and production efficiency.,Entry Level,Bachelor's Degree
100,Quality Engineer,Engineering,"quality control,quality assurance,manufacturing,excel,problem solving",Monitor product quality and improve manufacturing processes.,Entry Level,Bachelor's Degree
101,Process Engineer,Engineering,"process engineering,manufacturing,quality control,data analysis,excel",Optimize production processes and improve efficiency.,Entry Level,Bachelor's Degree
102,Industrial Engineer,Engineering,"industrial engineering,process improvement,lean manufacturing,excel,statistics",Improve production systems and operational efficiency.,Entry Level,Bachelor's Degree
103,Automotive Engineer,Engineering,"automotive engineering,cad,manufacturing,mechanical engineering,design",Design and develop automotive components and systems.,Entry Level,Bachelor's Degree
104,Hotel Manager,Hospitality,"hotel management,customer service,communication,leadership,operations",Manage hotel operations and customer services.,Entry Level,Bachelor's Degree
105,Front Office Executive,Hospitality,"customer service,communication,hotel management,computer skills,organization",Manage hotel reception and guest services.,Entry Level,Bachelor's Degree
106,Travel Consultant,Travel,"travel planning,customer service,communication,geography,booking",Plan travel arrangements and assist customers with bookings.,Entry Level,Bachelor's Degree
107,Event Coordinator,Events,"event management,communication,organization,planning,negotiation",Plan and coordinate events and conferences.,Entry Level,Bachelor's Degree
108,Restaurant Manager,Hospitality,"restaurant management,customer service,leadership,operations,communication",Manage restaurant operations and customer experience.,Entry Level,Bachelor's Degree
109,Chef,Hospitality,"cooking,food preparation,kitchen management,creativity,food safety",Prepare food and manage kitchen operations.,Entry Level,Diploma
110,Research Scientist,Science,"research,data analysis,statistics,scientific writing,problem solving",Conduct scientific research and analyze experimental results.,Entry Level,Master's Degree
111,Research Assistant,Science,"research,data analysis,documentation,statistics,communication",Support research projects and analyze research data.,Entry Level,Bachelor's Degree
112,Biotechnologist,Science,"biotechnology,biology,laboratory techniques,research,data analysis",Conduct biotechnology research and laboratory experiments.,Entry Level,Bachelor's Degree
113,Chemist,Science,"chemistry,laboratory techniques,research,data analysis,scientific writing",Conduct chemical analysis and laboratory research.,Entry Level,Bachelor's Degree
114,Environmental Scientist,Science,"environmental science,data analysis,research,sustainability,field work",Study environmental systems and support sustainability projects.,Entry Level,Bachelor's Degree
115,Operations Executive,Operations,"operations management,communication,excel,problem solving,organization",Coordinate business operations and improve operational efficiency.,Entry Level,Bachelor's Degree
116,Operations Analyst,Operations,"data analysis,excel,sql,operations management,statistics",Analyze operational data and improve business processes.,Entry Level,Bachelor's Degree
117,Project Coordinator,Management,"project management,communication,excel,planning,organization","Coordinate project activities, schedules and documentation.",Entry Level,Bachelor's Degree
118,Project Manager,Management,"project management,leadership,communication,planning,risk management","Manage projects, teams, timelines and project risks.",Entry Level,Bachelor's Degree
119,Product Manager,Management,"product management,market research,communication,leadership,analytics","Manage product strategy, development and business requirements.",Entry Level,Bachelor's Degree
120,Legal Assistant,Legal,"legal research,documentation,communication,organization,computer skills",Support lawyers with documentation and legal research.,Entry Level,Bachelor's Degree
121,Paralegal,Legal,"legal research,documentation,case management,communication,organization",Assist lawyers with legal research and case documentation.,Entry Level,Bachelor's Degree
122,Legal Analyst,Legal,"legal research,data analysis,documentation,communication,problem solving",Analyze legal information and prepare reports.,Entry Level,Bachelor's Degree
123,Customer Service Executive,Customer Service,"customer service,communication,problem solving,crm,negotiation",Assist customers and resolve service-related issues.,Entry Level,Bachelor's Degree
124,Customer Support Specialist,Customer Service,"customer support,communication,problem solving,crm,technical support",Provide customer support and resolve customer issues.,Entry Level,Bachelor's Degree
125,Client Relationship Executive,Customer Service,"customer service,communication,relationship management,crm,negotiation",Maintain client relationships and support customer needs.,Entry Level,Bachelor's Degree
